Id;Entidad;Ultima_Actualizacion;Domicilio;Localidad;Objeto_Social;Seccionales;CP;Telefono;e_mail;Página_web;Fecha_de_fundacion;Inscripcion DGPJ;Inscripcion_DGPJ(2);Decreto;Nºde_Expediente;Registro_Municipal;Exencion;ayuda_desarrollo_social_al_31/12/2015;Bajas;Suspendidas;Contacto;Anio_de_actualización;Cierre_de_ejercicio_según_estatuto;Cuenta_con_Bienes;Actualizadas;Desactualizadas;Certificados_Retirados;Archivado
1158;"CENTRO DE FOMENTO, SOCIAL, DEPORTIVO Y CULTURAL ""ANTU - RUCA"" (CASA DEL SOL)";01/01/2018;6 e/ 600 y 601;VILLA ELVIRA;Asistencia a la infancia y adolescencia;;;;espindolalorena11@gmail.com;;setiembre 1 de 2002;;L: 01/118.043 M: 25682;1895/07;9028/07;1296;;;;;ESPINDOLA LORENA (TEL: 486-5425 / 15-6031421);2018 (falta certificado de vigencia);31 de diciembre;;;;2019;
1159;LA ESPERANZA DE UN NIÑO;01/01/2006;4 e/ 619 y 620;VILLA ELVIRA;Desarrollo Humano y Solidadridad Social en general;;;486-5656;;;febrero 27 de 2006;;L:01/143381 M: 31020;1897/07;22275/07;1297;;;;;NELIDA ROSA DE SANDRO TEL: 15-4887823;Declaración Jurada 2006 (Inicial);30 de diciembre;;;X;;
1160;CENTRO CULTURAL Y SOCIAL EL RINCON;01/01/2006;139 E/ 437 Y 438  / 434 e/ 139 y 140;CITY BELL;Centros culturales;;1896;;ccselrincon@hotmail.com;;agosto 25 de 2004;;L:1/129285 - M:28823;1896/07;94552/06;1298;;;;;MARIO EZEQUIEL GARCIA TEL: 154-634618;2005-2006;3 de marzo;;;X;;
1161;PAPELNONOS PLATENSE;01/01/2016;55 Nº 1165;C. URBANO ESTE;Centros culturales;;1900;;papelnonospla@ciudad.com.ar;;14 de Abril 2005;;L: 1/136491 M: 29574;564/08;25382/08;1303;;;;;Barboza Ramón 482-9228;2016;31 de diciembre;;X;;;
1162;COLEGIO DE ABOGADOS DE LA PLATA;;13 Nº 821/29 - 2º PISO;C. URBANO ESTE;Profesiones y Oficios;;1900;513-2222/513-7722;secretarioadm@calp.org.ar;;;;L:;866/08;;1305;;;;;PEDRO MARTIN ANGÉ;;;;;;;
1163;EL NUEVO MERCADITO;01/01/2007;119 Esq. 519 S/Nº;RINGUELET;Comedores;;;471-6460;;;mayo 28 de 2007;;L: 152001 / M: 32512;996/08;24377/07;1306;;;;;NIEVAS NOEMI RAQUEL;2007 (Declaración Jurada);31 de diciembre;;;X;;
1164;ASOCIACION GALGUERA PLATENSE;;144 Nº 1741;LOS HORNOS;Prácticas Deportivas y Recreación;;;;;;octubre 7 de 2007;;L: 01/155123 M: 32.908;1099/08;;1307;;;;;RAUL ALBERTO MADERNA TEL:  456-5104  - 15 556867;;;;;X;;
1165;CENTRO DE RESIDENTES CHAQUEÑOS DE LA PLATA, BERISSO Y ENSENADA;01/01/2008;72 Nº 525 E/ 5 Y 6;C. URBANO ESTE;;;1900;422-1110;;;enero 13 de  1996;;L: 01/80122 M: 15296;1098/08;;1308;;;;;ELEAZARO ROMERO TEL: 422-1110;2007-2008;30 de junio;;;X;;
1166;ESCUELA DE ANTROPOLOGIA GNOSTICA ( E.A.G.A.C.);01/01/2019;50 Nº 981 e/ 14 y 15;C. URBANO ESTE;Centro de Estudios;;1900;425-4956;julianysusana@gmail.com;;diciembre 7 de 1992;;L: 64874 / 13498;1097/08;33543/08;1309;;;;;Jorge Sommaria 15-428-8019;2019;31 de diciembre;;X;;;
1167;A.D.C.V. ASOCIACIÓN DE DISEÑADORES EN COMUNICACIÓN VISUAL;01/01/2007;54 Nº 785 (Entrepiso) TEL: 15 - 566-2017;C. URBANO ESTE;Profesiones y Oficios;;1900;;;;noviembre 12 de 2005;;L: 140314 M: 30212;1100/08;28658/08;1310;;;;;MEDIN CLAUDIO TEL: 450-7559;2006-2007;31 de julio;;;X;;
1168;GIMNASIA DE LOS HORNOS;;134 E/ 69 70;LOS HORNOS;Fútbol;;;;;;noviembre 10 de 1995;;L: 79362 / M: 15074;1339/08;30205/08;1311;;;;;CEPEDA CESAR;;;;;X;;
1169;ASOCIACION MIGUEL BRU;01/01/2007;46 Nº 897 - 5º  C;C. URBANO ESTE;Derechos Humanos;;1900;427-2404;ambru@ambru.org.ar;;marzo 1 de 2002;;L: 115538 M: 24765;1428/08;39587/08;1312;;;;;ROSA SCHONFELD DE BRU TEL: 425- 4861;2006-2007;30 de junio;;;X;;
1170;AGRUPACION GIMNASISTA LOS HORNOS;01/01/2007;67 Nº 1979 (Campo de Deportes 137 y 78);LOS HORNOS;Fútbol;;;;;;noviembre 26  de 1989;;L: 78161 / M: 15209;1577/08;29728/08;1313;;;;;GRISELDA MANCA TEL: 15-4209811;2006-2007;25 de agosto;;;X;;
1171;CENTRO DE FOMENTO CULTURAL Y DEPORTIVO SIGLO XXI;01/01/2008;60 BIS Nº 2986;LOS HORNOS;Asistencia Infancia y Adolescencia;;;;;;mayo 16 de 2008;;L: 158769 / M: 33126;1576/08;40419/08;1314;;;;;JUAN CARLOS CAUSA TEL: 450-8105;2008 (Declaración Jurada);31 de diciembre;;;X;;
1172;CENTRO COMUNITARIO VECINAL LA CABAÑA;01/01/2007;58 Y 20;VILLA ELISA;Comedores;;;;;;febrero 1 de 1998;;L: 90621 / M: 17629;1575/08;30475/08;1315;;;;;RELLY OLIVERA;2006-2007;31 de julio;;;X;;
1173;A.M.A.S. ASOCIACION MUJERES EN ACTIVIDAD SOCIAL;01/01/2009;520 Nº 771;TOLOSA;Social;;;;amaslaplata@yahoo.com.ar;;marzo 26 de 1999;;L: 97088 / M: 19726;1623/08;38587/08;1316;;;;;SILVIA NOEMI LOPEZ;2009;31 de diciembre;;;X;;
1174;ESPACIO DE LA PALABRA;01/01/2010;"9 Nº 614 ""C""";C. URBANO ESTE;Cultural;;;421-7170 / TEL: FAX 424-3237;marthabe@speedy.com.ar;;noviembre 2 de 1998;;L: 1/94889 / M: 18655;1677/08;45768/08;1317;;;;;MARTHA BERRUTTI;2010;31 de diciembre;;X;;2010;
1175;ASOCIACION CIVIL ESCUCHANDONOS;01/01/2007;BARRIO 19 DE FEBRERO Nº 26;VILLA ELVIRA;social;;;;;;noviembre 9 de 2005;;L: 140613 / M: 30196;1678/08;33257/08;1318;;;;;NORMA MASSARA TEL: 486-6361 / 15-4000290;2007;31 de diciembre;;;X;;
1176;ASOCIACION CELIACA ARGENTINA;01/01/2011;24 Nº 1907;C. URBANO ESTE;Autoayuda;;1900;;info@celiaco.org.ar;;octubre 1 de 1983;;L: 33437 / M: 4332;1676/08;41524/08;1319;;SI;;;SILVIA VERA TAPIA TEL: 421-7206;2010-2011;30 de junio;;X;;2011;
1177;CENTRO DE JUBILADOS Y PENSIONADOS UNIDAD Y CAMBIO;01/01/2014;38 Nº  1072 E/ 16 y 17;C. URBANO ESTE;Actividades y terapias recreativas;;1900;;;;febrero 16 de 1994;;L:  70222 M: 13410;2087/08;46325/08;1320;;;;;MARIA ROSA 479-0040 ROCHA JUAN CARLOS TEL: 482-2110 ???;2013-2014;31 de enero;;;X;;
1178;O.N.G COMPLEJO ELIZALDE;01/01/2008;29 E/ 80 Y 81;SAN LORENZO;Equipamiento e Infraestructura;;;;;;febrero 13 de 2008;;L: 156793 / M: 33205;1956/08;42877/08;1321;;;;;GIULIET MARCELO TEL: 457-9862 / CEL: 15-5314025;2008 (Declaración Jurada);;;;X;;
1179;BIBLIOTECA POPULAR AERODROMO;01/01/2006;14 Nº 3890 E/ 609 Y 610;VILLA ELVIRA;Bibliotecas;;;;;;marzo 8 de 2006;;L: 142311 / M: 30739;1958/08;24989/08;1322;;;;;DEGOLLADA ALICIA CLAUIDIA;2006;31 de diciembre;;;X;;
1180;BIBLIOTECA POPULAR SAN JORGE;01/01/2011;144 Nº 785 e/ 47 y 49;SAN CARLOS;Bibliotecas;;1900;;bibliosanjorge323@yahoo.com.ar;;20 de Abril  2006;;L: 143371 M: 31084;2027/08;44571/08;1323;;;;;LUIS ERNESTO PEREZ RODRIGUEZ TEL: 15-5732001 TEL: de la Sra. 15-4002213;2011;31 de diciembre;;X;;;
1181;CLUB RECREATIVO INFANTIL DE FUTBOL INTER;01/01/2008;4 y 84 S/Nº;VILLA ELVIRA;Fútbol;;1900;;;;junio 20 de 2007;;L: 153772 M: 32817;2086/08;39587/08;1324;;;;;PEREGO SANDRO TEL: 453-6060;2008;30 de diciembre;;;X;;
1182;BIBLIOTECA POPULAR MAFALDA Y LIBERTAD;01/01/2008;148 S/Nº ESQ. 415;ARTURO SEGUI;Bibliotecas;;1895;;;;febrero 22 de 2008;;L: 145061 M: 33305;1008/09;49789/08;1325;;;;;FLORES WALTER TEL: 487 -1154;2008 (incial);31 de mayo;;;X;;
1183;ASOCIACION COOPERADORA COMEDOR DARDO ROCHA;01/01/1992;79 E/ 131 Y 132;LOS HORNOS;Cooperación (Otros);3;1941;;;;diciembre 26 de 1992;;;106/93;;;;;;;BERNARDI HERIBERTO;1992;;;;X;;
1184;ASOCIACION COOPERADORA COMEDOR SAN MARTIN;01/01/2011;149 N° 1274 E/ 58 Y 59;LOS HORNOS;Cooperación (Otros);3;1941;452-2729;;;enero 21 de 1993;;;96/93;;;;;;;MANSILLA NATIVIDAD RAMONA TEL: 15-5259970;Se volvió a conformar 2011;31 de diciembre;;X;;;
1185;ASOCIACION COOPERADORA ESCUELA MUNICIPAL EXPERIMENTAL N° 2 DE BARRIO JARDIN;01/01/2001;115 Y 85 BIS;VILLA ELVIRA;Cooperación (Educación);8;1900;486-3997;;;noviembre 17 de 1988;;;95/93;;;;;;;GALIZIA VILLARDELL MARIA FERNANDA;2000-2001;;;;X;;
1186;ASOCIACION COOPERADORA CASA DEL NIÑO BARRIO HIPODROMO;01/01/2008;DIAG. 115 N° 505 E/ 42 Y 42 BIS;C. URBANO NORTE;Cooperación (Educación);2;1900;427-2534;;;septiembre 25 de 1992;;;200/93;;;;;;;VILLANO ANALIA TEL: 483-9762;2008;31 de diciembre;;;X;;
1187;COOPERADORA MUNICIPAL DE CLUB DE PADRES CASA DEL NIÑO A.M.A.D.;01/01/2002;5 N° 15 E/ 506 Y 507;GONNET;Cooperación (Educación);13;1897;484-0979;;;octubre 9 de 1992;;;140/93;;;;;;;BUSSI VIVIANA;2002;;;;X;;
1188;COMISION COOPERADORA CENTRO DE SALUD N° 8;01/01/1992;20 ESQ. 85;SAN LORENZO;Cooperación (Salud);5;1900;451-5845;;;noviembre 6 de 1992;;;142/93;;;;;;;BIANCHI CARLOS;1992 ( Según el jefe médico esta cooperadora no funciona, van a enviar nota marzo 2004 );;;;X;;
1189;ASOCIACION COOPERADORA JARDIN DE INFANTES MUNICIPAL N° 7 JUAN E. PESTALOZZI;01/01/2015;12 N° 1590;C. URBANO SUR;Cooperación (Educación);9;1900;452-3237;;;septiembre 4 de 1987;;;399/88;;;;;;;SILVA ANGEL 429-1029;2015;31 de diciembre;;X;;;
1190;ASOCIACION COOPERADORA DEL CENTRO DE SALUD N° 36;01/01/1993;412 E/ 29 Y 30;VILLA ELISA;Cooperación (Salud);12;1894;;;;27 de Abril  1989;;;1698/93;;;;;;;BAGNATO LUCIA;1993;;;;X;;
1191;FUNDACION DE ATENCION AL DISCAPACITADO (F.A.DISC.);01/01/2017;143 Nº 527 E/ 42 Y 43;SAN CARLOS;Discapacidades en General;;1900;470-9444;fadisc.contable@yahoo.com;;noviembre 16 de 1998;;L: 01/94992 M: 18629;2216/08;47878/08;1326;SI;SI;;;GIARRUSSO DANIEL NORBERTO TEL: 15-4282760;2017;31 de diciembre;x;X;;;
1192;LA PATRIA JOVEN;01/01/2008;53 Nº 5100 E/ 197 Y 198;OLMOS;CULTURAL;;;;;;mayo 24 de 2008;;L: 1/159811 M: 33443;403/09;52688/09;1327;;;;;ACUÑA ORTIZ CRISTIAN HERNAN TEL: 15- 5697455;2008 (Inicial);25 de mayo;;;;;
1193;O.C.R.E. ORGANIZACIÓN COMUNITARIA RAYITO DE ESPERANZA;01/01/2007;523 Nº 269;TOLOSA;Desarrollo Humano y Solidaridad Social (en general);;1906;;;;julio 15 de 1999;;L: 99447 M: 20743;0012/09;47661/08;1328;;;;;RODRIGUEZ ANGEL VICENTE;2006-2007;23 de diciembre;;;X;;
1194;ACRIBUS;01/01/2007;146 Nº 180;SAN CARLOS;Desarrollo Humano y Solidaridad Social (en general);;1900;;acribuslaplata@yahoo.com;;diciembre 18 de 2005;;L: 143653  M: 31162;0026/09;49375/08;1329;;;;;BENITO FERNANDO TEL: 15 - 5526130;2007;31 de diciembre;;;X;;
1195;CASA DE DIA DON MARCELINO;01/01/2008;Con. Centenario y 406;VILLA ELISA;Asistencia Ancianidad;;1894;;;;octubre 20 de 2006;;L: 149880 M: 33123;159/09;50567/08;1330;;;;;CARLOS ALBERTO JUSTO TEL: 473-2177;2008 (inicial);30 de diciembre;;;X;;
1196;CLUB TALLERES DEL FERROCARRIL PROVINCIAL;01/01/2018;52 Nº 1816;SAN CARLOS;Fútbol;;1900;;;;enero 28 de 2008;;L: 156464 M: 33038;402/09;51056/08;1331;;;;;LESCANO RAMON DARIO TEL: 457-7725 / 15 - 4636482;2018;;;;;;
1197;ASOCIACION MUTUAL AGRUPACION FEDERAL;;2 Nº 1578 E/ 43 Y 44;C. URBANO ESTE;Mutualidad;;1900;;;;agosto 6 de 2007;;L: 151051 M: 33360;527/09;49568/08;1332;;;;;GRONO ORO CLELIA SUSANA 471-2099;b;31 de diciembre;;X;;;
1198;ATHENA;01/01/2008;144 Nº 1103;LOS HORNOS;Asistencia Infancia y Adolescencia;;1900;;;;noviembre 14 de 2008;;L: 164470 M: 33620;622/09;56161/09;1333;;;;;VITALE CLOTILDE CARMEN TEL: 450-3019 / 15-6042282;2008 (Inicial);31 de diciembre;;;X;;
1199;SEAMOS SOLIDARIOS;01/01/2012;Con. CENTENARIO Nº 2255;VILLA ELISA;ASISTENCIA EN GRAL;;1894;;reydereyes@netverk.com.ar;;agosto 8 de 2005;;L: 138915 M: 30039;0621/09;46578/08;1334;;;;;BOGE FERNANDO TEL: 487-1180 / 15- 5476062;2012;31 de diciembre;;;X;;
1200;ASOCIACIÓN CIVIL ELEGIMOS LA VIDA;01/01/2007;527 Nº 945 E/ 4 Y 5;TOLOSA;Asistencia y Prevención;;1906;;;;septiembre 6 de 2007;;L: 154171  M: 33286;0821/09;55351/09;1336;;;;;FORESI ENRIQUE TEL: 011-151310117;2007 (Inicial);30 de junio;;;X;;
1201;MUJERES ADELANTE;01/01/2017;160 Y 50;OLMOS;Asistencia en General;;;;;;febrero 8 de 2004;;L: 1/108469 M: 22409;923/09;city;1338;;SI;;;ROCHA GUTIERREZ ROSARIO TEL: 470-5816 CEL: 15-5933007;2017;1 de febrero;;;X;;
1202;RESIDENCIA CORAZÓN CASA DE ARTISTAS;01/01/2007;DIAG. 77 Nº 195;C. URBANO ESTE;Centros Culturales;;1900;;residenciacorazon@hotmail.com;;marzo 12 de 2007;;L: 150741 M: 32869;0922/09;55868/09;1339;;;;;MIRTO RODRIGO TEL: 15-4405055;2007 (Inicial);5 de diciembre;;;X;;
1203;ASOCIACION DEPORTIVA INFANTIL AMERICA A.D.I.A.;01/01/2008;64 S/Nº E/ 119 Y 120;C. URBANO ESTE;Deportes en general;;1900;;mmolloy@arba.gov.ar // mochoy1@hotmail.com;;julio 23 de 2008;;L: 160262 M: 33606;1293/09;57220/09;1341;;;;;AGUIRRE JUAN GREGORIO TEL: 486-9730;2008 (Inicial);30 de diciembre;;;X;;
1204;CENTRO CULTURAL TEATRO ESTUDIO;01/01/2013;3 Nº 386;C. URBANO ESTE;Centros Culturales;;1900;;gastonmarioni@hotmail.com;;diciembre 30 de 2008;;L: 166307 M: 34007;1450/09;63950/09;1342;;;;;TESORERO MARIONI GASTON OSCAR TEL: 15 540 4879/ 4234366 - PTE ANALIA ZUCCARO 15 6011421;2013- BCE 2014;31 de diciembre;;;X;2010;
1205;COMPARTIENDO UN SUEÑO;01/01/2008;15 Nº 3121;CITY BELL;;;1896;;;;noviembre 23 de 2003;;L: 1/125516 M: 27460;1449/09;63600/09;1343;;;;;HERMETO GONZALEZ FERRE TEL: 480-1773;2008;31 de diciembre;;;X;;
1206;ASOCIACIÓN DE DISCAPACITADOS ARGENTINOS (ADIAR);01/01/2009;451 S/N ESQ. 26;CITY BELL;Discapacidades en General;;1896;;;;marzo 16 de 2007;;L: 1/ 150774 M: 32509;1448/09;54113/09;1344;;;;;LACUBE ALBERTO TEL: 15-6169665/ VICE 15-5658373;2009;31 de diciembre;;;X;;
1207;FOTO CLUB AMIGOS DE LA FOTOGRAFIA;01/01/2007;CANTILO entre 20 Y 21;CITY BELL;Promoción y Fomento;;1896;;;;junio 25 de 1994;;L: 01/92166 M: 17799;1452/09;64215/09;1345;;;;;INFANTE MÁRMOL CARLOS TOMÁS Tel: 480-1714/ 473-2978;2006-2007;30 de junio;;;X;;
1208;ORGANIZACIÓN PARA LA RECUPERACION COMUNITARIA;01/01/2007;477 Nº 2429 E/ 19 Y 20;CITY BELL;SOCIAL;;1896;;;;diciembre 19 de 2006;;L: 153390 / M:32484;1451/09;25103/08;1346;;;;;ORTELLANO MARIO TEL: 15-5340372;2007 (Inicial);;;;X;;
1209;RENACIENDO GRUPO DE LA TERCERA 3ra. EDAD;01/01/2008;19 Nº 444;C. URBANO ESTE;Actividades y terapias recreativas;;1900;;;;noviembre 30 de 2001;;L: 136051 M: 33863;1690/09;64214/09;1347;;;;;PIERELLA BEATRIZ;2008 (inicial);31 de diciembre;;;X;;
1210;TALLER DE CAPACITACION Y ESPECIALIZACION AL LIBERADO SAN ARCANGEL;01/01/2009;454 Nº 1931;CITY BELL;Aprendizaje y Educación;;1896;;;;mayo 20 de 2009;;L: 167332 M: 34112;759/10;068081/09;1349;;;;;ASSIEU RAUL HORACIO TEL: 480-2993;2009 (Inicial);31 de diciembre;;;X;;
1211;ASOCIACION PAPILOSCOPICA JUAN VUCETICH;01/01/2008;5 Nº 2209;C. URBANO ESTE;Centros de Estudios;;1900;;;;diciembre 22 de 2008;;L: 164450 M: 36197;401/10;069097/09;1350;;;;;GIMENEZ JORGE RUBEN TEL: 450-8799;2008 (inicial);30 de abril;;;X;;
1212;CASA DE CULTURA LA CLAVE;01/01/2011;467 Nº 486;CITY BELL;Centros Culturales;;1896;;jacevedodiaz@yahoo.com.ar;;mayo 5 de 2009;;L: 167163 M: 34340;2059/09;69096/09;1351;;;;;EMILIO ACEVEDO DIAZ TEL: 15-4596037;2010-2011;5 de mayo;;;X;;
1213;CENTRO CULTURAL EL NUCLEO - GRUPOS BARATARIA Y DANZACCIÓN;01/01/2013;6 Nº 420;C. URBANO ESTE;Centros Culturales;;1900;;barataria@sinectis.com.ar;;julio 18 de 2003;;L: 1/121543 M: 28069;1474/09;64889/09;1352;;;;;MARIANA MONJE 15 5071756/OMAR 15 5621657;2012-2013;1 de junio;;;X;;
1214;SOL BRILLANTE;01/01/2011;32 Nº 1808;C. URBANO ESTE;Actividades y terapias recreativas;;1900;;;;marzo 14 de 2004;;L: 145828 M: 32076;1834/09;52158/08;1353;;;;;DESTEFANO EDITH 470-1362 (MARIANA);2011;31 de diciembre;;;X;;
1215;ROTARY CLUB DE MANUEL. B. GONNET;01/01/2012;14 E/ 500 Y 501 (CLUB UNIVERSITARIO);GONNET;Servicios;;1897;;;;octubre 2 de 1982;;L: 36010 M: 4982;1691/09;63951/09;1354;;;;;MIRTHA YOLANDA GALLARDO 484-5083;2011-2012;30 de junio;;X;;;
1216;CAMINOS DE VIDA DE VILLA ELVIRA;01/01/2009;74 E/ 117 Y 118 CASA Nº 46;VILLA ELVIRA;Promoción y Fomento;;;;gustavodelasernalp@yahoo.com.ar;;marzo 4 de 2009;;L: 1/167108 M: 34213;1693/09;67546/09;1355;;;;;SANSONE NELIDA TEL: 15-5731984;2009 (Inicial);31 de diciembre;;;X;;
1217;CASA DEL ABRAZO;01/01/2009;520 Nº 1386 E/ 8 Y 9;TOLOSA;Promoción y Fomento;;;588-5480;;;julio 5 de 2009;;L: 168365 M: 34247;1694/09;67545/09;1356;;;;;GEZZI LETICIA TEL: 15-5397710;2009 (Inicial);1 de diciembre;;;X;;
1218;COMPROMISO BARRIAL;01/01/2008;529 Nº 2439 E/ 19 Y 20;TOLOSA;Promoción y Fomento;;;423-4231;;;mayo 29 de 2007;;L: 01/149497 M: 32164;1837/09;67544/09;1357;;;;;QUIÑONES CARMEN ELDA;2007-2008;31 de agosto;;;X;;
1219;CENTRO DE TERCER EDAD RESPLANDOR Y PAZ;01/01/2008;6 E/ 633 Y 634;VILLA ELVIRA;Actividades y terapias recreativas;;;;;;14 de Abril 2008;;L: 160513 M: 33697;1836/09;67233/09;1358;;;;;CABRAL TEODORA TEL: 491-0402;2008  (Inicial);31 de diciembre;;;X;;
1220;ORGANIZACIÓN IDENTIDAD;01/01/2008;46 Nº 260;C. URBANO ESTE;Derechos Humanos;;1900;;organizacionidentidad@hotmail.com / orgidentidad@yahoo.com.ar;;noviembre 4 de 1996;;L: 1/84657 M: 16277;1862/09;67231/09;1359;;;;;JUAN.G.GARCIA ESPINO TEL: 15-6052091;2007-2008;20 de noviembre;;;X;;
1221;OJITOS FELICES;01/01/2010;527 S/Nº E/ 141 Y 142;SAN CARLOS;Desarrollo Humano y Solidadridad Social en general;;1900;;;;agosto 5 de 2008;;L: 163071 M: 33788;1934/09;67543/09;1360;;;;;GENATTI ZULEMA ELENA TEL: 470-5240;2009-2010;11 de noviembre;;X;;;
1222;FUTURA COMUNICACIÓN POPULAR;01/01/2017;75 Nº 497 1/2;C. URBANO ESTE;SOCIAL;;1900;;radiofuturalaplata@gmail.com;;18 de Febrero 2005;;L: 133710 M:29354;0998/10;4061-73337/09;1361;;;;;Delú Juan Salvador (Pte) 221-6770590;2017;31 de diciembre;;X;;;
1223;GUARDIA TANGUERA;01/01/2008;4 Nº 1530;C. URBANO ESTE;Centros Culturales;;1900;;guardiatanguera@yahoo.com.ar;;octubre 31 de 2005;;L: 143957 M: 32786;2097/09;71544/09;1363;;;;;NAPOLIELLO FERNANDO ANIBAL TEL: 15-5608089;2007-2008;30 de setiembre;;;X;;
1224;CENTRO DE ESTUDIOS POR LA COMUNA;01/01/2009;49 Nº 729;C. URBANO ESTE;Centros de Estudios;;1900;;;;11 de Abril 2007;;L: 151365 M: 33042;2166/09;68809/09;1364;;;;;OSTROWSKY MARCELO TEL: 15-5992815;2008-2009;11 de abril;;;X;;
1225;CENTRO DE ABUELOS NUEVO VIVIR;01/01/2009;485 Nº 4334 E/ 135 Y 136;GORINA;Actividades y terapias recreativas;;;;;;setiembre 4 de 2008;;L: 162511 M: 33648;120/10;73631/09;1365;;;;;GARCIA LEONOR I. TEL: 471-5702;2009 (Inicial);31 de diciembre;;;X;;
1226;ONG CENTRO SOCIAL, CULTURAL Y POLITICO NUEVA CONCIENCIA;01/01/2009;119 Nº 181 E/ 35 Y 36;C. URBANO ESTE;Desarrollo Humano y Solidaridad Social (en general);;1900;;;;setiembre 25 de 2008;;L: 163199 M: 34087;113/10;72637/09;1366;;;;;PONCE CLAUDIA NOEMI TEL: 15-5655038;2009 (Inicial);31 de diciembre;;;X;;
1227;FUNDACION ZOOLOGICO LA PLATA;01/01/2009;44 Nº 519;C. URBANO ESTE;Cooperación (Otros);;1900;;fundacion-zoo@hotmail.es;;marzo 12 de 2008;;L: 1/157618;402/10;71391/09;1367;;;;;ROSANA NOEMI CHARETTE TEL: 457-0957;2008-2009;28 de febrero;;;X;;
1228;CENTRO DE AMIGOS CAMINANDO JUNTOS;01/01/2010;525 BIS Nº 1635 E/ 11 Y 12 traerá Resol de Jurídicas x cambio de domiciclio;TOLOSA;Actividades y terapias recreativas;;1906;484-2857;centrocaminandojuntos@yahoo.com.ar;;junio 14 de 2004;;L: 01/135330 M: 29590;0020/10;73630/09;1368;;;;;BUSIBACHI MARTA TEL: 422-3389;2010;31 de diciembre;;X;;;
1229;ALMAS SOLIDARIAS;01/01/2008;48 Nº 632 4º PISO OF: 58 (DOMICILIO SOCIAL 136 BIS E/ 50 Y 52);C. URBANO ESTE;Asistencia Infancia y Adolescencia;;1900;;;;setiembre 10 de 2008;;L: 162138 M: 33524;172/10;72780/09;1369;;;;;LUDUEÑA CLAUDIA FABIANA TEL: 15-5914059 / 451-2828;2008 (inicial);15 de diciembre;;;X;;
1230;CENTRO CULTURAL Y RECREATIVO ESTACIÓN PROVINCIAL;01/01/2009;17 Y 71;C. URBANO ESTE;Centros Culturales;;1900;;;;noviembre 25 de 1998;;L: 1/114577 M: 24455;170/10;70397/09;1370;;;;;GUTIERREZ ABEL HORACIO TEL: 452-1184;2008-2009;30 de mayo;;;X;;
1231;EL GALPONCITO;01/01/2009;525 E/ 27 Y 28;TOLOSA;Asistencia familiar;;1906;;nitonatural@yahoo.com.ar;;julio 12 de 2008;;L: 160399 M: 33841;174/10;71392/09;1371;;;;;RAMIREZ HECTOR RENÉ TEL: 15-4764954;2009 (Inicial);30 de julio;;;X;;
1232;CENTRO DE LA TERCERA EDAD RAICES DE VILLA ELISA;01/01/2016;422 E/ 10 Y 11;VILLA ELISA;Actividades y terapias recreativas;;1894;;juvecarrera@hotmail.com;;marzo 4 de 2008;;L: 158492 M: 33899;123/10;64217/09;1372;;;;;PTE. NIEVES ANA MULLER 473-1061 ALMA GUEVARA 473-1699;2016;31 de diciembre;;X;;;
1233;ASOCIACIÓN YUYAY;01/01/2008;481 BIS E/ 7 Y 8;CITY BELL;Centros de Estudios;;1896;480-2422;;;septiembre 8 de 2008;;L: 161832 M: 33740;162/10;67232/09;1373;;;;;SUSTER SILVIA LEONOR TEL: 480-2422 / 155616893;2008 (Inicial);23 de septiembre;;;X;;
1234;ESPACIO ARTE VIVO;01/01/2011;58 Nº 461 E/ 4 Y 5;C. URBANO ESTE;Centros Culturales;;1900;;artevivoteatro@yahoo.com.ar;;noviembre 8 de 2000;;L: 01/103550 M: 21742;169/10;077039/10;1374;;;;;ALICIA DI CIACCIO TEL: 451-1995;2010-2011;31 de marzo;;;X;;
1235;ASOCIACION AMIGOS DEL COMPLEJO BIBLIOTECARIO PALACIO LOPEZ MERINO;01/01/2009;49 nº 835;C. URBANO ESTE;Bibliotecas;;1900;;;;marzo 25 de 2009;;L: 1/165802 M: 34053;760/10;79573/10;1375;;;;;GUARDA LILIANA MABEL TEL: 479-8475;2009 (Inicial);1 de abril;;;X;;
1236;VOLVER A EMPEZAR EN LA ROCA;01/01/2009;603 Nº 541;VILLA ELVIRA;Promoción y Fomento;;;;;;diciembre 21 de 2009;;L: 172063 M: 35124;701/11;085586/10;1377;;;;;GASTON CHEBES;2009 (Inicial);28 de diciembre;;;X;;
1237;SER SI MISMO ASOCIACION CIVIL;01/01/2008;524 E/16 Y 17 CASA 7/54 nº 533 e/1 y 2;TOLOSA;discpacidad mental;;1900;;;;noviembre 21 de 2006;;L: 148650 M: 31693;1394/10;82643/10;1378;;;;;FORTE VENTURA MARIA;2008 inicial;31 de diciembre;;;;;
1238;TAHUMA;01/01/2010;17 Nº 983;C. URBANO ESTE;Centros Culturales;;1900;;;;enero 8 de 2010;;L: 173053 M: 35295;1634/10;087217/10;1381;;;;;LAXAGUE MONICA TEL: 482-7490;2010 (Inicial);31 de diciembre;;X;;;
1239;CAMBIAR LAS COSAS;01/01/2010;6 Nº 1709 DTO. A;C. URBANO ESTE;Desarrollo Humano y Solidaridad Social (en general);;1900;;cambiarlascosas@hotmail.com;;mayo 19 de 2010;;L: 175133 M: 35692;1633/10;088031/10;1382;;;;;SEBASTIAN RAUL BARBIERI TEL: 15-5390612;2010 (Inicial);31 de mayo;;X;;;
